Remision,Consignatario,Fecha Entrega,Fecha documento,Fecha Elaboracion,Cantidad,SKU,Unidad de medida,Descripcion,Creador,Estado,Proveedor Foraneo,PU Proveedor,Vigencia Pu,**Subtotal Opl**,IVA OPL,IEPS OPL,**Total OPL**
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,3,ABA3068,PIEZA,ACEITE DE CANOLA DE 1 LT,RIVAS,BAJA CALIFORNIA SUR,GRUPO K,47,31/03/2026,141,0,0,141
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,1,PSEC3,KILO,AJO EN POLVO ,RIVAS,BAJA CALIFORNIA SUR,GRUPO K,135,31/03/2026,135,0,0,135
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,4,ABA80,PIEZA,ARROZ SUPER EXTRA-BOLSA 1 KG,RIVAS,BAJA CALIFORNIA SUR,GRUPO K,45.5,31/03/2026,182,0,0,182
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,2,PSEC14,KILO,AZÚCAR ESTÁNDAR,RIVAS,BAJA CALIFORNIA SUR,GRUPO K,35,31/03/2026,70,0,0,70
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,1,ABA947,PIEZA,CAFÉ TOSTADO Y MOLIDO DE 400 GRS,RIVAS,BAJA CALIFORNIA SUR,GRUPO K,244,31/03/2026,244,0,0,244
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,2,ABA3992,PIEZA,CONCENTRADO DE JAMAICA BOTELLA DE 750 ML (**) (*),RIVAS,BAJA CALIFORNIA SUR,GRUPO K,82.6,31/03/2026,165.2,26.43,13.22,204.85
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,2,ABA3993,PIEZA,CONCENTRADO DE TAMARINDO BOTELLA  750 ML. (**) (*),RIVAS,BAJA CALIFORNIA SUR,GRUPO K,82.6,31/03/2026,165.2,26.43,13.22,204.85
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,2,ABA4360,PIEZA,CONCENTRADO HORCHATA COCO  700 ML (**) (*),RIVAS,BAJA CALIFORNIA SUR,GRUPO K,82.6,31/03/2026,165.2,26.43,13.22,204.85
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,2,ABA413,PIEZA,ELOTE DORADO 410 GRS.,RIVAS,BAJA CALIFORNIA SUR,GRUPO K,24,31/03/2026,48,0,0,48
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,1,ABA5449,PIEZA,EXTRACTO DE VAINILLA 1 LT. (**) (*),RIVAS,BAJA CALIFORNIA SUR,GRUPO K,78,31/03/2026,78,12.48,6.24,96.72
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,2,ABA442,PIEZA,"FRIJOL BAYO, PQT. DE 900 GRS.",RIVAS,BAJA CALIFORNIA SUR,GRUPO K,48,31/03/2026,96,0,0,96
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,1,ABA1897,PIEZA,GALLETA MARÍA 850 GRS.,RIVAS,BAJA CALIFORNIA SUR,GRUPO K,99,31/03/2026,99,0,0,99
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,2,ABA480,PIEZA,GALLETAS SALADAS 504 GRS.,RIVAS,BAJA CALIFORNIA SUR,GRUPO K,86.8,31/03/2026,173.6,0,0,173.6
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,1,LI2860,PIEZA,"GELATINA ELABORADA SABOR FRESA, PZA DE 100 GRS. (*)",RIVAS,BAJA CALIFORNIA SUR,GRUPO K,3.52,31/03/2026,3.52,0,0.28,3.8
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,1,LI2992,PIEZA,"GELATINA ELABORADA SABOR LIMÓN, PZA DE 100 GRS. (*)",RIVAS,BAJA CALIFORNIA SUR,GRUPO K,3.52,31/03/2026,3.52,0,0.28,3.8
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,1,LI3046,PIEZA,"GELATINA ELABORADA SABOR UVA, PZA DE 100 GRS. (*)",RIVAS,BAJA CALIFORNIA SUR,GRUPO K,3.52,31/03/2026,3.52,0,0.28,3.8
BCS26-70,UNIDAD  SAN JOSÉ DEL CABO,02/02/2026,02/02/2026,28/01/2026,1,ABA1505,PIEZA,LECHE EVAPORADA LIQUIDA 360 GRS.,RIVAS,BAJA CALIFORNIA SUR,GRUPO K,30.8,31/03/2026,30.8,0,0,30.8
